total_false_alarm,total_missed_detection,total_speaker_confusion,speech_total,classification_error,total_frames,ece,exname,domain,selection,direction,seed,duration,der
34593.0,161254.0,30394.0,617187.0,256635.0,616179,2.0545993000268936,webvideo-random-worst-soft_segmentation-v1-a2__600@DIHARD_webvideo.SpeakerDiarization.Adaptation.development,webvideo,random,worst,2,600,36.65679931690071
60119.0,150626.0,35467.0,617187.0,281679.0,616179,15.66782146692276,webvideo-random-worst-soft_segmentation-v1-a3__60@DIHARD_webvideo.SpeakerDiarization.Adaptation.development,webvideo,random,worst,3,60,39.89260953325329
27168.0,58796.0,51263.0,559416.0,188490.0,842082,1.8801983445882797,clinical-confidence-worst-soft_segmentation-v1-a2__240@DIHARD_clinical.SpeakerDiarization.Adaptation.development,clinical,confidence,worst,2,240,24.53040313469761
11584.0,14347.0,10894.0,356093.0,47719.0,497221,2.9018210247159004,maptask-random-worst-soft_segmentation-v1-a3__300@DIHARD_maptask.SpeakerDiarization.Adaptation.development,maptask,random,worst,3,300,10.341399578200077
20029.0,31561.0,12717.0,460658.0,77024.0,563732,0.8158404380083084,socio_lab-confidence-worst-soft_segmentation-v1-a1__120@DIHARD_socio_lab.SpeakerDiarization.Adaptation.development,socio_lab,confidence,worst,1,120,13.95981400518389
12720.0,42086.0,8899.0,342609.0,72604.0,420455,5.921310558915138,socio_field-random-worst-soft_segmentation-v1-a2__1200@DIHARD_socio_field.SpeakerDiarization.Adaptation.development,socio_field,random,worst,2,1200,18.594082467185626
3989.0,5442.0,0.0,355044.0,9431.0,421627,0.0314069475280121,audiobooks-confidence-worst-soft_segmentation-v1-a2__600@DIHARD_audiobooks.SpeakerDiarization.Adaptation.development,audiobooks,confidence,worst,2,600,2.656290487939523
11083.0,13991.0,19244.0,356093.0,63562.0,497221,1.3770495541393757,maptask-confidence-worst-soft_segmentation-v1-a3__60@DIHARD_maptask.SpeakerDiarization.Adaptation.development,maptask,confidence,worst,3,60,12.445625159719512
13027.0,12055.0,11852.0,356093.0,48786.0,497221,1.500172819942236,maptask-confidence-worst-soft_segmentation-v1-a2__300@DIHARD_maptask.SpeakerDiarization.Adaptation.development,maptask,confidence,worst,2,300,10.372009559300519
6569.0,15991.0,13824.0,398798.0,50208.0,453564,4.002027586102486,court-random-worst-soft_segmentation-v1-a3__300@DIHARD_court.SpeakerDiarization.Adaptation.development,court,random,worst,3,300,9.123415864673344
12923.0,44381.0,11027.0,342609.0,79358.0,420455,6.022888049483299,socio_field-random-worst-soft_segmentation-v1-a1__240@DIHARD_socio_field.SpeakerDiarization.Adaptation.development,socio_field,random,worst,1,240,19.944309694141136
12960.0,36495.0,11879.0,460658.0,73213.0,563732,0.826701894402504,socio_lab-confidence-worst-soft_segmentation-v1-a3__120@DIHARD_socio_lab.SpeakerDiarization.Adaptation.development,socio_lab,confidence,worst,3,120,13.314432833034484
88068.0,134447.0,35422.0,617187.0,293359.0,616179,8.114702999591827,webvideo-confidence-worst-soft_segmentation-v1-a2__120@DIHARD_webvideo.SpeakerDiarization.Adaptation.development,webvideo,confidence,worst,2,120,41.79235790773299
22741.0,61553.0,46806.0,559416.0,177906.0,842082,6.614747643470764,clinical-random-worst-soft_segmentation-v1-a3__1200@DIHARD_clinical.SpeakerDiarization.Adaptation.development,clinical,random,worst,3,1200,23.435153803251964
23016.0,7483.0,2620.0,338534.0,35739.0,427487,1.2052804231643677,broadcast_interview-confidence-worst-soft_segmentation-v1-a3__120@DIHARD_broadcast_interview.SpeakerDiarization.Adaptation.development,broadcast_interview,confidence,worst,3,120,9.783064625709677
20657.0,7572.0,2433.0,338534.0,33095.0,427487,3.3897388726472855,broadcast_interview-confidence-worst-soft_segmentation-v1-a2__600@DIHARD_broadcast_interview.SpeakerDiarization.Adaptation.development,broadcast_interview,confidence,worst,2,600,9.057288189664849
130840.0,162133.0,88433.0,2153456.0,469839.0,2092020,1.0938088409602642,cts-confidence-worst-soft_segmentation-v1-a3__60@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,confidence,worst,3,60,17.711343997741306
35427.0,47657.0,44289.0,559416.0,171662.0,842082,2.8133677318692207,clinical-confidence-worst-soft_segmentation-v1-a1__1200@DIHARD_clinical.SpeakerDiarization.Adaptation.development,clinical,confidence,worst,1,1200,22.76892330573312
17093.0,31447.0,10212.0,460658.0,68964.0,563732,3.34915928542614,socio_lab-random-worst-soft_segmentation-v1-a1__600@DIHARD_socio_lab.SpeakerDiarization.Adaptation.development,socio_lab,random,worst,1,600,12.753930247602344
7612.0,14239.0,9185.0,398798.0,40221.0,453564,0.8547233417630196,court-confidence-worst-soft_segmentation-v1-a2__120@DIHARD_court.SpeakerDiarization.Adaptation.development,court,confidence,worst,2,120,7.782386070140773
30747.0,57750.0,16773.0,513222.0,122043.0,456494,2.019835449755192,meeting-confidence-worst-soft_segmentation-v1-a1__240@DIHARD_meeting.SpeakerDiarization.Adaptation.development,meeting,confidence,worst,1,240,20.511591475034198
35726.0,52280.0,51750.0,559416.0,191506.0,842082,4.910841211676598,clinical-random-worst-soft_segmentation-v1-a1__180@DIHARD_clinical.SpeakerDiarization.Adaptation.development,clinical,random,worst,1,180,24.98248173094799
83605.0,188025.0,87846.0,2153456.0,447322.0,2092020,2.2987857460975647,cts-random-worst-soft_segmentation-v1-a1__120@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,random,worst,1,120,16.692980957121947
4059.0,6815.0,0.0,355044.0,10874.0,421627,0.5685822572559118,audiobooks-confidence-worst-soft_segmentation-v1-a3__300@DIHARD_audiobooks.SpeakerDiarization.Adaptation.development,audiobooks,confidence,worst,3,300,3.0627189869424636
3629.0,5165.0,20.0,355044.0,8834.0,421627,0.1503707841038704,audiobooks-random-worst-soft_segmentation-v1-a3__1200@DIHARD_audiobooks.SpeakerDiarization.Adaptation.development,audiobooks,random,worst,3,1200,2.482509210126069
157226.0,138547.0,84614.0,2153456.0,465001.0,2092020,0.7035962771624327,cts-confidence-worst-soft_segmentation-v1-a1__120@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,confidence,worst,1,120,17.664024711904958
27730.0,125934.0,28622.0,489048.0,210908.0,426608,8.24902206659317,restaurant-confidence-worst-soft_segmentation-v1-a1__1200@DIHARD_restaurant.SpeakerDiarization.Adaptation.development,restaurant,confidence,worst,1,1200,37.273641851106646
28890.0,121788.0,29040.0,489048.0,208758.0,426608,8.475492894649506,restaurant-confidence-worst-soft_segmentation-v1-a3__1200@DIHARD_restaurant.SpeakerDiarization.Adaptation.development,restaurant,confidence,worst,3,1200,36.74854002061147
6746.0,13346.0,11072.0,398798.0,42236.0,453564,3.326219692826271,court-random-worst-soft_segmentation-v1-a2__240@DIHARD_court.SpeakerDiarization.Adaptation.development,court,random,worst,2,240,7.8144825199725165
15291.0,11388.0,9905.0,398798.0,46489.0,453564,0.40787975303828716,court-confidence-worst-soft_segmentation-v1-a1__30@DIHARD_court.SpeakerDiarization.Adaptation.development,court,confidence,worst,1,30,9.173566567535445
33685.0,54031.0,50866.0,559416.0,189448.0,842082,4.57620732486248,clinical-random-worst-soft_segmentation-v1-a1__120@DIHARD_clinical.SpeakerDiarization.Adaptation.development,clinical,random,worst,1,120,24.77262001801879
24876.0,41878.0,11890.0,460658.0,90534.0,563732,2.7889007702469826,socio_lab-random-worst-soft_segmentation-v1-a1__30@DIHARD_socio_lab.SpeakerDiarization.Adaptation.development,socio_lab,random,worst,1,30,17.07210121174494
67427.0,145935.0,33477.0,617187.0,280316.0,616179,4.549587517976761,webvideo-confidence-worst-soft_segmentation-v1-a1__600@DIHARD_webvideo.SpeakerDiarization.Adaptation.development,webvideo,confidence,worst,1,600,39.99419948897174
54854.0,153986.0,34722.0,617187.0,278284.0,616179,11.761322617530823,webvideo-random-worst-soft_segmentation-v1-a3__180@DIHARD_webvideo.SpeakerDiarization.Adaptation.development,webvideo,random,worst,3,180,39.463242096803725
14082.0,44970.0,11161.0,342609.0,81374.0,420455,1.1871048249304295,socio_field-confidence-worst-soft_segmentation-v1-a3__240@DIHARD_socio_field.SpeakerDiarization.Adaptation.development,socio_field,confidence,worst,3,240,20.49362392698382
31795.0,52340.0,51087.0,559416.0,186309.0,842082,0.5058387760072947,clinical-confidence-worst-soft_segmentation-v1-a2__300@DIHARD_clinical.SpeakerDiarization.Adaptation.development,clinical,confidence,worst,2,300,24.17199365052126
22583.0,31611.0,12647.0,460658.0,79488.0,563732,1.4542714692652225,socio_lab-random-worst-soft_segmentation-v1-a3__60@DIHARD_socio_lab.SpeakerDiarization.Adaptation.development,socio_lab,random,worst,3,60,14.50989671296276
19788.0,69482.0,16883.0,513222.0,123036.0,456494,7.39893764257431,meeting-random-worst-soft_segmentation-v1-a3__300@DIHARD_meeting.SpeakerDiarization.Adaptation.development,meeting,random,worst,3,300,20.6836417768529
97538.0,174551.0,85152.0,2153456.0,442393.0,2092020,1.1277451179921627,cts-random-worst-soft_segmentation-v1-a3__120@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,random,worst,3,120,16.589194299767442
125631.0,163752.0,87489.0,2153456.0,464361.0,2092020,1.8408047035336494,cts-confidence-worst-soft_segmentation-v1-a3__30@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,confidence,worst,3,30,17.50079871611029
6772.0,3964.0,1.0,355044.0,10738.0,421627,0.28059855103492737,audiobooks-random-worst-soft_segmentation-v1-a1__120@DIHARD_audiobooks.SpeakerDiarization.Adaptation.development,audiobooks,random,worst,1,120,3.024132220231859
5362.0,13583.0,9262.0,398798.0,37469.0,453564,3.2878249883651733,court-random-worst-soft_segmentation-v1-a3__1200@DIHARD_court.SpeakerDiarization.Adaptation.development,court,random,worst,3,1200,7.07300437815636
22135.0,70896.0,16359.0,513222.0,125749.0,456494,7.915864884853363,meeting-random-worst-soft_segmentation-v1-a1__120@DIHARD_meeting.SpeakerDiarization.Adaptation.development,meeting,random,worst,1,120,21.31436298521887
12709.0,47208.0,10845.0,342609.0,81607.0,420455,9.864405542612076,socio_field-random-worst-soft_segmentation-v1-a1__30@DIHARD_socio_field.SpeakerDiarization.Adaptation.development,socio_field,random,worst,1,30,20.653864901389046
107946.0,172251.0,84933.0,2153456.0,450063.0,2092020,1.0017294436693192,cts-random-worst-soft_segmentation-v1-a3__60@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,random,worst,3,60,16.955535659888106
14479.0,36165.0,12930.0,460658.0,76504.0,563732,3.3823810517787933,socio_lab-random-worst-soft_segmentation-v1-a1__180@DIHARD_socio_lab.SpeakerDiarization.Adaptation.development,socio_lab,random,worst,1,180,13.80069379018708
28530.0,62196.0,51893.0,559416.0,194512.0,842082,6.7991092801094055,clinical-random-worst-soft_segmentation-v1-a1__60@DIHARD_clinical.SpeakerDiarization.Adaptation.development,clinical,random,worst,1,60,25.494265448253177
9103.0,17296.0,12681.0,356093.0,51761.0,497221,3.568173199892044,maptask-confidence-worst-soft_segmentation-v1-a3__120@DIHARD_maptask.SpeakerDiarization.Adaptation.development,maptask,confidence,worst,3,120,10.974661113810157
91436.0,181931.0,87471.0,2153456.0,448309.0,2092020,2.507476881146431,cts-random-worst-soft_segmentation-v1-a3__30@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,random,worst,3,30,16.756228128180933
132037.0,152155.0,91491.0,2153456.0,467174.0,2092020,1.9279632717370987,cts-random-worst-soft_segmentation-v1-a1__30@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,random,worst,1,30,17.445585143137357
5471.0,4395.0,0.0,355044.0,9866.0,421627,0.19013811834156513,audiobooks-random-worst-soft_segmentation-v1-a1__240@DIHARD_audiobooks.SpeakerDiarization.Adaptation.development,audiobooks,random,worst,1,240,2.77881051362648
35019.0,49040.0,51247.0,559416.0,186553.0,842082,0.35945307463407516,clinical-confidence-worst-soft_segmentation-v1-a3__600@DIHARD_clinical.SpeakerDiarization.Adaptation.development,clinical,confidence,worst,3,600,24.187009309708696
93422.0,183160.0,95191.0,2153456.0,466964.0,2092020,1.8458347767591476,cts-confidence-worst-soft_segmentation-v1-a2__1200@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,confidence,worst,2,1200,17.26401653899592
22281.0,66220.0,17314.0,513222.0,123129.0,456494,4.235772415995598,meeting-random-worst-soft_segmentation-v1-a1__1200@DIHARD_meeting.SpeakerDiarization.Adaptation.development,meeting,random,worst,1,1200,20.61778333742513
9947.0,55180.0,13305.0,342609.0,91737.0,420455,8.119642734527588,socio_field-random-worst-soft_segmentation-v1-a3__30@DIHARD_socio_field.SpeakerDiarization.Adaptation.development,socio_field,random,worst,3,30,22.892568496449307
27635.0,58450.0,17060.0,513222.0,120205.0,456494,5.321486294269562,meeting-confidence-worst-soft_segmentation-v1-a1__1200@DIHARD_meeting.SpeakerDiarization.Adaptation.development,meeting,confidence,worst,1,1200,20.097540635436516
18454.0,41535.0,13374.0,342609.0,86737.0,420455,1.5698298811912537,socio_field-confidence-worst-soft_segmentation-v1-a1__180@DIHARD_socio_field.SpeakerDiarization.Adaptation.development,socio_field,confidence,worst,1,180,21.41303935389905
89440.0,183385.0,86269.0,2153456.0,445363.0,2092020,3.268374502658844,cts-random-worst-soft_segmentation-v1-a2__300@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,random,worst,2,300,16.675242029556212
11130.0,14050.0,12790.0,356093.0,50760.0,497221,2.730773203074932,maptask-confidence-worst-soft_segmentation-v1-a2__180@DIHARD_maptask.SpeakerDiarization.Adaptation.development,maptask,confidence,worst,2,180,10.66294479251207
87876.0,183831.0,87651.0,2153456.0,447009.0,2092020,2.6738379150629044,cts-random-worst-soft_segmentation-v1-a3__600@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,random,worst,3,600,16.687501393109493
20723.0,67999.0,15944.0,513222.0,120610.0,456494,7.017165422439575,meeting-random-worst-soft_segmentation-v1-a3__180@DIHARD_meeting.SpeakerDiarization.Adaptation.development,meeting,random,worst,3,180,20.393903612861493
12240.0,15321.0,12054.0,356093.0,51669.0,497221,4.286205023527145,maptask-confidence-worst-soft_segmentation-v1-a1__180@DIHARD_maptask.SpeakerDiarization.Adaptation.development,maptask,confidence,worst,1,180,11.12490276416554
22991.0,64299.0,17070.0,513222.0,121430.0,456494,3.1531766057014465,meeting-confidence-worst-soft_segmentation-v1-a2__1200@DIHARD_meeting.SpeakerDiarization.Adaptation.development,meeting,confidence,worst,2,1200,20.334280291959423
21854.0,6354.0,3495.0,338534.0,35198.0,427487,4.110739007592201,broadcast_interview-random-worst-soft_segmentation-v1-a1__240@DIHARD_broadcast_interview.SpeakerDiarization.Adaptation.development,broadcast_interview,random,worst,1,240,9.364790538025723
10543.0,11471.0,9186.0,398798.0,40386.0,453564,1.6622994095087051,court-confidence-worst-soft_segmentation-v1-a2__180@DIHARD_court.SpeakerDiarization.Adaptation.development,court,confidence,worst,2,180,7.823509646487696
5074.0,15453.0,12226.0,398798.0,44979.0,453564,3.4992650151252747,court-random-worst-soft_segmentation-v1-a3__240@DIHARD_court.SpeakerDiarization.Adaptation.development,court,random,worst,3,240,8.212929854211906
25217.0,65334.0,17193.0,513222.0,124937.0,456494,6.8280912935733795,meeting-random-worst-soft_segmentation-v1-a1__300@DIHARD_meeting.SpeakerDiarization.Adaptation.development,meeting,random,worst,1,300,20.99364407605286
13738.0,43583.0,7955.0,342609.0,73231.0,420455,6.50457888841629,socio_field-random-worst-soft_segmentation-v1-a1__1200@DIHARD_socio_field.SpeakerDiarization.Adaptation.development,socio_field,random,worst,1,1200,19.052622668990015
89274.0,175750.0,89922.0,2153456.0,444868.0,2092020,4.956771433353424,cts-random-worst-soft_segmentation-v1-a1__1200@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,random,worst,1,1200,16.482621423423556
40975.0,157725.0,33273.0,617187.0,265246.0,616179,5.679284408688545,webvideo-random-worst-soft_segmentation-v1-a2__1200@DIHARD_webvideo.SpeakerDiarization.Adaptation.development,webvideo,random,worst,2,1200,37.58552918321352
5191.0,6219.0,73.0,355044.0,11556.0,421627,0.5878213793039322,audiobooks-random-worst-soft_segmentation-v1-a2__60@DIHARD_audiobooks.SpeakerDiarization.Adaptation.development,audiobooks,random,worst,2,60,3.2342470229042033
4767.0,5400.0,0.0,355044.0,10167.0,421627,1.0227044112980366,audiobooks-confidence-worst-soft_segmentation-v1-a3__240@DIHARD_audiobooks.SpeakerDiarization.Adaptation.development,audiobooks,confidence,worst,3,240,2.863588738297225
17464.0,32391.0,15697.0,460658.0,81249.0,563732,0.4600008949637413,socio_lab-confidence-worst-soft_segmentation-v1-a1__240@DIHARD_socio_lab.SpeakerDiarization.Adaptation.development,socio_lab,confidence,worst,1,240,14.230079581815577
19268.0,10297.0,2762.0,338534.0,35089.0,427487,1.966586895287037,broadcast_interview-confidence-worst-soft_segmentation-v1-a2__180@DIHARD_broadcast_interview.SpeakerDiarization.Adaptation.development,broadcast_interview,confidence,worst,2,180,9.54911471225933
28360.0,58394.0,49000.0,559416.0,184754.0,842082,0.4249829798936844,clinical-confidence-worst-soft_segmentation-v1-a3__240@DIHARD_clinical.SpeakerDiarization.Adaptation.development,clinical,confidence,worst,3,240,24.267092825375034
49031.0,44133.0,50455.0,559416.0,194074.0,842082,0.4366806708276272,clinical-confidence-worst-soft_segmentation-v1-a3__60@DIHARD_clinical.SpeakerDiarization.Adaptation.development,clinical,confidence,worst,3,60,25.67302329572268
90279.0,133383.0,35150.0,617187.0,293962.0,616179,8.277935534715652,webvideo-confidence-worst-soft_segmentation-v1-a3__120@DIHARD_webvideo.SpeakerDiarization.Adaptation.development,webvideo,confidence,worst,3,120,41.934130174485205
29006.0,134709.0,30701.0,489048.0,225117.0,426608,9.077571332454681,restaurant-random-worst-soft_segmentation-v1-a3__300@DIHARD_restaurant.SpeakerDiarization.Adaptation.development,restaurant,random,worst,3,300,39.753970980353664
148627.0,148155.0,87920.0,2153456.0,472622.0,2092020,1.3396956026554108,cts-confidence-worst-soft_segmentation-v1-a2__60@DIHARD_cts.SpeakerDiarization.Adaptation.development,cts,confidence,worst,2,60,17.864400294224726
28529.0,148642.0,25980.0,489048.0,229131.0,426608,7.497314363718033,restaurant-confidence-worst-soft_segmentation-v1-a3__30@DIHARD_restaurant.SpeakerDiarization.Adaptation.development,restaurant,confidence,worst,3,30,41.54009422387986
15957.0,30116.0,9902.0,460658.0,65877.0,563732,2.1401531994342804,socio_lab-random-worst-soft_segmentation-v1-a1__1200@DIHARD_socio_lab.SpeakerDiarization.Adaptation.development,socio_lab,random,worst,1,1200,12.151096909203792
13905.0,43378.0,11184.0,342609.0,79651.0,420455,5.530175194144249,socio_field-random-worst-soft_segmentation-v1-a2__240@DIHARD_socio_field.SpeakerDiarization.Adaptation.development,socio_field,random,worst,2,240,19.98400509035081
15702.0,30675.0,10552.0,460658.0,67481.0,563732,2.8101645410060883,socio_lab-random-worst-soft_segmentation-v1-a2__600@DIHARD_socio_lab.SpeakerDiarization.Adaptation.development,socio_lab,random,worst,2,600,12.35819197756253
30927.0,132055.0,30066.0,489048.0,223114.0,426608,9.15587693452835,restaurant-confidence-worst-soft_segmentation-v1-a1__300@DIHARD_restaurant.SpeakerDiarization.Adaptation.development,restaurant,confidence,worst,1,300,39.47424383700577
11603.0,53086.0,11101.0,342609.0,86891.0,420455,7.62043371796608,socio_field-random-worst-soft_segmentation-v1-a3__60@DIHARD_socio_field.SpeakerDiarization.Adaptation.development,socio_field,random,worst,3,60,22.12142704949374
26141.0,130612.0,27770.0,489048.0,212293.0,426608,12.42000237107277,restaurant-confidence-worst-soft_segmentation-v1-a2__1200@DIHARD_restaurant.SpeakerDiarization.Adaptation.development,restaurant,confidence,worst,2,1200,37.73106116373035
13520.0,30325.0,10658.0,460658.0,65161.0,563732,2.0519040524959564,socio_lab-confidence-worst-soft_segmentation-v1-a2__1200@DIHARD_socio_lab.SpeakerDiarization.Adaptation.development,socio_lab,confidence,worst,2,1200,11.831553994503514
19815.0,8873.0,2292.0,338534.0,33272.0,427487,4.418349638581276,broadcast_interview-random-worst-soft_segmentation-v1-a3__120@DIHARD_broadcast_interview.SpeakerDiarization.Adaptation.development,broadcast_interview,random,worst,3,120,9.151222624610822
12902.0,46246.0,10425.0,342609.0,79998.0,420455,4.919666424393654,socio_field-random-worst-soft_segmentation-v1-a2__120@DIHARD_socio_field.SpeakerDiarization.Adaptation.development,socio_field,random,worst,2,120,20.30682206246771
20270.0,7677.0,2892.0,338534.0,33731.0,427487,4.805349186062813,broadcast_interview-random-worst-soft_segmentation-v1-a3__1200@DIHARD_broadcast_interview.SpeakerDiarization.Adaptation.development,broadcast_interview,random,worst,3,1200,9.109572450625343
22503.0,6318.0,3231.0,338534.0,35283.0,427487,4.455989226698875,broadcast_interview-random-worst-soft_segmentation-v1-a2__240@DIHARD_broadcast_interview.SpeakerDiarization.Adaptation.development,broadcast_interview,random,worst,2,240,9.467882103422404
11828.0,11564.0,7688.0,356093.0,38768.0,497221,0.5332701839506626,maptask-random-worst-soft_segmentation-v1-a2__1200@DIHARD_maptask.SpeakerDiarization.Adaptation.development,maptask,random,worst,2,1200,8.72805699634646
10809.0,54319.0,9530.0,342609.0,84188.0,420455,3.028307855129242,socio_field-confidence-worst-soft_segmentation-v1-a3__120@DIHARD_socio_field.SpeakerDiarization.Adaptation.development,socio_field,confidence,worst,3,120,21.79102125163087
14404.0,39118.0,10088.0,342609.0,73698.0,420455,2.0781418308615685,socio_field-confidence-worst-soft_segmentation-v1-a1__1200@DIHARD_socio_field.SpeakerDiarization.Adaptation.development,socio_field,confidence,worst,1,1200,18.566354065421514
14026.0,13710.0,14080.0,356093.0,55896.0,497221,0.9581136517226696,maptask-random-worst-soft_segmentation-v1-a2__120@DIHARD_maptask.SpeakerDiarization.Adaptation.development,maptask,random,worst,2,120,11.74299972198274
19255.0,9060.0,2747.0,338534.0,33809.0,427487,2.7089420706033707,broadcast_interview-confidence-worst-soft_segmentation-v1-a1__300@DIHARD_broadcast_interview.SpeakerDiarization.Adaptation.development,broadcast_interview,confidence,worst,1,300,9.175444711609469
